         0,         0
       300,         0
       150,         0
       449,         1
        75,         1
       374,         1
       225,         1
       524,         1
        37,         2
       337,         2
       187,         2
       487,         2
       112,         2
       412,         3
       262,         3
       562,         3
        19,         3
       318,         3
       168,         4
       468,         4
        94,         4
       393,         4
       243,         4
       543,         5
        56,         5
       356,         5
       206,         5
       505,         5
       131,         6
       431,         6
       281,         6
       580,         6
         9,         6
       309,         7
       159,         7
       459,         7
        84,         7
       384,         7
       234,         8
       533,         8
        47,         8
       346,         8
       197,         8
       496,         9
       122,         9
       421,         9
       271,         9
       571,         9
        28,        10
       328,        10
       178,        10
       477,        10
       103,        10
       402,        11
       253,        11
       552,        11
        66,        11
       365,        11
       215,        12
       515,        12
       140,        12
       440,        12
       290,        12
       590,        13
         5,        13
       304,        13
       154,        13
       454,        13
        80,        14
       379,        14
       229,        14
       529,        14
        42,        14
       342,        15
       192,        15
       491,        15
       117,        15
       416,        15
       267,        16
       566,        16
        23,        16
       323,        16
       173,        16
       473,        17
        98,        17
       398,        17
       248,        17
       548,        17
        61,        18
       360,        18
       211,        18
       510,        18
       136,        18
       435,        19
       285,        19
       585,        19
        14,        19
       314,        19
       164,        20
       463,        20
        89,        20
       388,        20
       239,        20
       538,        21
        51,        21
       351,        21
       201,        21
       501,        21
       126,        22
       426,        22
       276,        22
       576,        22
        33,        22
       332,        23
       183,        23
       482,        23
       108,        23
       407,        23
       257,        24
       557,        24
        70,        24
       370,        24
       220,        24
       519,        25
       145,        25
       445,        25
       295,        25
       594,        25
         2,        26
       302,        26
       152,        26
       452,        26
        77,        26
       377,        27
       227,        27
       526,        27
        40,        27
       339,        27
       190,        28
       489,        28
       115,        28
       414,        28
       264,        28
       564,        29
        21,        29
       321,        29
       171,        29
       470,        29
        96,        30
       395,        30
       246,        30
       545,        30
        58,        30
       358,        31
       208,        31
       508,        31
       133,        31
       433,        31
       283,        32
       583,        32
        12,        32
       311,        32
       161,        32
       461,        33
        87,        33
       386,        33
       236,        33
       536,        33
        49,        34
       349,        34
       199,        34
       498,        34
